architecture,image_mode,image_size,model_path,model_sha256,seed
compact_cnn,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_rgb_triplet_512_seed1337/malware_family_compact_cnn_rgb_triplet_512_seed1337.keras,4759457dbe18d3e442b07ca792b0e5a0b03c6f8e294af811e2d873c13f1788fc,1337
compact_cnn,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_rgb_triplet_512_seed2027/malware_family_compact_cnn_rgb_triplet_512_seed2027.keras,da65aa8d16bbabf0adbd48fc5b9ea834ee4a4bc3be3adb97516d3cf8d0c1b51b,2027
compact_cnn,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_rgb_triplet_512_seed4099/malware_family_compact_cnn_rgb_triplet_512_seed4099.keras,913704d32ee871a67f46030b739f8c7777cca6da21eebba3892fb42895302d9c,4099
dense_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_rgb_triplet_512_seed1337/malware_family_dense_small_rgb_triplet_512_seed1337.keras,7af74a1aa9fd26e5a304b4a80a830e9b1b9b6c0d8aece1430c6224d0bda38afc,1337
dense_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_rgb_triplet_512_seed2027/malware_family_dense_small_rgb_triplet_512_seed2027.keras,df7a8bd2cce414df51cbd0435ae3314620f9af4fa32d53cf8ec9d6fdfd7cce3b,2027
dense_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_rgb_triplet_512_seed4099/malware_family_dense_small_rgb_triplet_512_seed4099.keras,bd324f2a80b2b0d6779134588173c3e74a30f91d0754bf54cd4d8a0cc82d39d8,4099
residual_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_rgb_triplet_512_seed1337/malware_family_residual_small_rgb_triplet_512_seed1337.keras,3eebb239424d0c70bd08f4ed960b0b23f92b4b961590401fb993fbaa570b7e55,1337
residual_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_rgb_triplet_512_seed2027/malware_family_residual_small_rgb_triplet_512_seed2027.keras,d8c812e22fab90746763ab1bfb2a09bafd4ee70e45c6798620ff8a4085fc3860,2027
residual_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_rgb_triplet_512_seed4099/malware_family_residual_small_rgb_triplet_512_seed4099.keras,7585bb63c7b6c8961d6364f1bf3dd12d5c89771a5037b698aa848d65f4d63e4a,4099
inception_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_rgb_triplet_512_seed1337/malware_family_inception_small_rgb_triplet_512_seed1337.keras,155ada97b33c49e4eef74243f0c7490c6f5d9a08a3677ea0e49d451e032ab955,1337
inception_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_rgb_triplet_512_seed2027/malware_family_inception_small_rgb_triplet_512_seed2027.keras,6fa22202387d7268b10ad406c242e2aeda87daed8b4f320e61b10e906b136293,2027
inception_small,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_rgb_triplet_512_seed4099/malware_family_inception_small_rgb_triplet_512_seed4099.keras,5d865ae3a1e51f8ed7c036a0d8a0c947aa2932da016bb924fb5c23341321a52f,4099
convnext_tiny_scratch,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_rgb_triplet_512_seed1337/malware_family_convnext_tiny_scratch_rgb_triplet_512_seed1337.keras,83de42df3a67aa67732874e1967baf487f16d824f743bd1d019fb61de61f307e,1337
convnext_tiny_scratch,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_rgb_triplet_512_seed2027/malware_family_convnext_tiny_scratch_rgb_triplet_512_seed2027.keras,128fea923dbd07c7750975340dca218eaa0fbb8b46efd0a4a86dd486cfc512e0,2027
convnext_tiny_scratch,rgb_triplet,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_rgb_triplet_512_seed4099/malware_family_convnext_tiny_scratch_rgb_triplet_512_seed4099.keras,c648c92636b81855efdbf7ad2f50230528b49b785789260276a00aed39e49729,4099
